Ref,Body_Style,Doors,Cab_Config,Bed_Length_in,Bed_Volume_cuft,Roof_Height,Wheelbase_in,Length_in,Width_in,Height_in,Track_Front_in,Track_Rear_in,Ground_Clearance_in,Approach_Angle_deg,Departure_Angle_deg,Breakover_Angle_deg,Drag_Coefficient,Cargo_Volume_cuft,Cargo_Volume_Max_cuft,Fuel_Capacity_gal,Seating_Rows
nhtsa-acura-zdx-suv-4dr-121-7,SUV,4,,,,,121.7,197.6,78.3,64.2,66.1,66.1,,,,,,,,,
nhtsa-alfa-romeo-164-sedan-104-7,Sedan,,,,,,104.7,179.5,69.3,55.1,,,,,,,,,,,
nhtsa-alfa-romeo-164-sedan-104-7-2,Sedan,,,,,,104.7,179.5,69.3,56.3,,,,,,,,,,,
nhtsa-alfa-romeo-164-sedan-4dr-104-7,Sedan,4,,,,,104.7,183.9,69.3,54.7,59.4,58.7,,,,,,,,,
nhtsa-alfa-romeo-4c-body-2dr-93-7,,2,,,,,93.7,157.1,73.6,46.5,64.6,63,,,,,,,,,
nhtsa-alfa-romeo-4c-coupe-2dr-93-7,Coupe,2,,,,,93.7,157.1,73.6,46.5,64.6,63,,,,,,,,,
nhtsa-alfa-romeo-milano-sedan-4dr-98-8,Sedan,4,,,,,98.8,170.5,64.2,53.1,,,,,,,,,,,
nhtsa-alfa-romeo-spider-body-104-7,,,,,,,104.7,179.5,69.3,56.3,,,,,,,,,,,
nhtsa-alfa-romeo-spider-body-88-6,,,,,,,88.6,168.9,64.2,48.8,,,,,,,,,,,
nhtsa-alfa-romeo-spider-body-88-6-2,,,,,,,88.6,167.7,63.8,49.6,,,,,,,,,,,
nhtsa-alfa-romeo-spider-body-88-6-3,,,,,,,88.6,167.7,63.8,49.6,52,50,,,,,,,,,
nhtsa-alfa-romeo-stelvio-body-111,,,,,,,111,184.6,74.8,65,63.4,65,,,,,,,,,
nhtsa-alfa-romeo-tonale-suv-4dr-103-9,SUV,4,,,,,103.9,178.3,72.4,63,62.2,61.8,,,,,,,,,
nhtsa-amc-eagle-body-97-2,,,,,,,97.2,166.5,72.8,55.1,,,,,,,,,,,
nhtsa-amc-eagle-hatchback-96-9,Hatchback,,,,,,96.9,166.5,72.8,55.1,,,,,,,,,,,
nhtsa-amc-eagle-sedan-2dr-109-4,Sedan,2,,,,,109.4,183.9,70.9,55.1,,,,,,,,,,,
nhtsa-amc-eagle-sedan-4dr-109-4,Sedan,4,,,,,109.4,183.9,70.9,55.1,,,,,,,,,,,
nhtsa-amc-eagle-wagon-109-4,Wagon,,,,,,109.4,183.9,70.9,55.1,,,,,,,,,,,
nhtsa-aston-martin-db11-body-110-6,,,,,,,110.6,187.4,76.4,50.4,65.4,65.4,,,,,,,,,
nhtsa-aston-martin-db11-coupe-2dr-110-6,Coupe,2,,,,,110.6,187.4,76.4,50.4,65.4,65.4,,,,,,,,,
nhtsa-aston-martin-db12-convertible-2dr-110-2,Convertible,2,,,,,110.2,185.8,78,50.8,,,,,,,,,,,
nhtsa-aston-martin-db12-convertible-2dr-110-6,Convertible,2,,,,,110.6,186.2,78,50.8,,,,,,,,,,,
nhtsa-aston-martin-db12-coupe-2dr-110-2,Coupe,2,,,,,110.2,185.8,78,50.8,,,,,,,,,,,
nhtsa-aston-martin-db12-coupe-2dr-110-6,Coupe,2,,,,,110.6,186.2,78,50.8,,,,,,,,,,,
nhtsa-aston-martin-db7-body-102,,,,,,,102,183.1,72,49.2,,,,,,,,,,,
nhtsa-aston-martin-db7-convertible-2dr-102,Convertible,2,,,,,102,183.1,72,49.2,,,,,,,,,,,
nhtsa-aston-martin-db7-convertible-2dr-102-2,Convertible,2,,,,,102,183.9,72,49.6,,,,,,,,,,,
nhtsa-aston-martin-db7-coupe-2dr-102,Coupe,2,,,,,102,183.1,72,49.2,,,,,,,,,,,
